epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.42842,1.15058,2.89469,1.47185,0.00333,1,0.23284,0.09605,1.10505,3.01324,1.68875,0.0001,0.0001,0.0001
2,2.72292,0.89804,2.47498,1.27191,0.00333,1,0.825,0.5961,0.55969,2.65909,1.05501,0.000215644,0.000215644,0.000215644
3,4.02838,0.71092,1.4129,1.11323,0.354,1,0.995,0.83609,0.46499,2.51818,1.05534,0.000326536,0.000326536,0.000326536
4,5.26685,0.68276,1.14936,1.06926,0.97599,1,0.995,0.82084,0.64636,1.90345,1.10368,0.000432676,0.000432676,0.000432676
5,6.51709,0.67577,1.16247,1.0728,1,0.98549,0.995,0.86983,0.61219,1.84096,1.18866,0.000534064,0.000534064,0.000534064
6,7.77316,0.62463,1.07663,1.02698,0.99071,1,0.995,0.81896,0.76767,1.50594,1.43006,0.0006307,0.0006307,0.0006307
7,9.01717,0.67742,1.07398,1.11257,0.94796,1,0.995,0.76578,0.8611,1.84809,1.52763,0.000722584,0.000722584,0.000722584
8,10.2431,0.70157,0.99897,1.08014,0.98833,1,0.995,0.73375,1.04582,1.9135,1.76267,0.000809716,0.000809716,0.000809716
9,11.5048,0.68418,0.98145,1.06008,0.98666,1,0.995,0.81111,0.9403,1.56551,1.62702,0.000892096,0.000892096,0.000892096
10,12.7464,0.73901,0.96566,1.10965,0.99275,1,0.995,0.79535,0.94261,1.52156,1.57707,0.000969724,0.000969724,0.000969724
11,13.9777,0.72149,0.93661,1.08559,0.97685,1,0.995,0.85575,0.62416,1.6543,1.16035,0.0010426,0.0010426,0.0010426
12,15.1927,0.61883,0.84448,1.02604,0.9862,1,0.995,0.87502,0.528,1.32227,1.0976,0.00111072,0.00111072,0.00111072
13,16.4436,0.72419,0.95446,1.09501,0.71427,0.85714,0.90909,0.69556,0.66267,1.58336,1.16423,0.0011741,0.0011741,0.0011741
14,17.682,0.63816,0.8348,1.01891,0.53743,1,0.82,0.46829,1.19518,1.71011,1.88377,0.00123272,0.00123272,0.00123272
15,18.9039,0.65697,0.88762,1.04244,1,0.9964,0.995,0.7083,0.72949,1.35052,1.22277,0.00128658,0.00128658,0.00128658
16,20.1252,0.68216,0.84308,1.03922,0.99353,1,0.995,0.85734,0.55903,1.15689,1.01425,0.0013357,0.0013357,0.0013357
17,21.3426,0.71951,0.85261,1.05007,1,0.98749,0.995,0.84763,0.5363,1.04548,1.00241,0.0013664,0.0013664,0.0013664
18,22.5577,0.64327,0.80782,1.05749,0.98283,1,0.995,0.84865,0.61607,0.88657,1.1334,0.0013268,0.0013268,0.0013268
19,23.7753,0.65105,0.77195,1.03814,0.9861,1,0.995,0.83999,0.67203,0.91836,1.17477,0.0012872,0.0012872,0.0012872
20,24.9899,0.61465,0.75879,1.02527,0.98911,1,0.995,0.73374,1.03404,1.00023,1.51434,0.0012476,0.0012476,0.0012476
21,26.194,0.56494,0.69005,1.00616,0.74039,1,0.94389,0.67741,1.0777,1.07656,1.64174,0.001208,0.001208,0.001208
22,27.4234,0.64048,0.72509,1.04254,0.82906,0.69597,0.86667,0.59042,0.7688,1.26304,1.20693,0.0011684,0.0011684,0.0011684
